row_id,split,case_family_id,scenario_family,message,current_state,has_active_task,active_intent,active_domain,pending_slot,suspended_task_count,control_result,slot_match,slot_match_type,slot_value_type,explicit_switch_signal,has_business_object,setfit_top1_label,setfit_top1_score,setfit_top2_label,setfit_top2_score,setfit_margin,setfit_low_conf,setfit_ambiguous,llm_review_expected,target_decision,target_intent,target_domain,target_risk_level,target_priority,feature_source,sample_weight,notes
11,train,AMBIGUOUS_PAIR:44201,AMBIGUOUS_PAIR,我不想要了,COLLECTING,True,CHITCHAT.THANKS,CHITCHAT,,0,NONE,False,NONE,NONE,False,True,AFTERSALE.REFUND,0.5747,ORDER.CANCEL,0.4902,0.0845,True,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,top1 较高但 margin 小，进入候选二判
12,train,COLLECTING_SWITCH_IMPLICIT:55679,COLLECTING_SWITCH_IMPLICIT,申请更换型号,COLLECTING,True,PROMOTION.COUPON,PROMOTION,user_id,0,NONE,False,NONE,NONE,False,True,AFTERSALE.EXCHANGE,0.9172,PROMOTION.COUPON,0.1108,0.8064,False,False,False,SWITCH_NEW,AFTERSALE.EXCHANGE,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.5,任务进行态隐式切换应使用更严格分数与 margin
13,train,COLLECTING_SLOT_PHRASED:75526,COLLECTING_SLOT_PHRASED,应该是SO93847561,COLLECTING,True,ORDER.QUERY_STATUS,ORDER,customer_phone_or_order_id,0,NONE,True,CONTEXTUAL_ANSWER,ORDER_ID_OR_PHONE,False,False,ORDER.QUERY_STATUS,0.9377,ORDER.QUERY_STATUS,0.161,0.7767,False,False,False,CONTINUE_CURRENT,ORDER.QUERY_STATUS,ORDER,L1,70,SYNTHETIC_SIMULATED,1.5,pending-slot-aware extraction 应优先于业务意图切换
14,train,CONFIRMING_DENY:69142,CONFIRMING_DENY,不对,CONFIRMING,True,AFTERSALE.EXCHANGE,AFTERSALE,,0,RULE_CONFIRM_GATE,False,NONE,NONE,False,False,AFTERSALE.EXCHANGE,0.5482,ORDER.CANCEL,0.4503,0.0979,True,True,False,DENY_CURRENT,AFTERSALE.EXCHANGE,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.0,否认当前确认门，不等于 ORDER.CANCEL
15,train,COLLECTING_SWITCH_EXPLICIT:48000,COLLECTING_SWITCH_EXPLICIT,顺便，有可领的优惠券吗,COLLECTING,True,CHITCHAT.GENERAL,CHITCHAT,customer_phone_or_order_id,0,NONE,False,NONE,NONE,True,True,PROMOTION.COUPON,0.7944,CHITCHAT.GENERAL,0.192,0.6024,False,False,False,SWITCH_NEW,PROMOTION.COUPON,PROMOTION,L1,70,SYNTHETIC_SIMULATED,1.0,
16,validation,CONFIRMING_DENY:90305,CONFIRMING_DENY,不要,CONFIRMING,True,PAYMENT.INVOICE,PAYMENT,,0,RULE_CONFIRM_GATE,False,NONE,NONE,False,False,PAYMENT.INVOICE,0.3534,ORDER.QUERY_STATUS,0.3223,0.0311,True,True,False,DENY_CURRENT,PAYMENT.INVOICE,PAYMENT,L3,60,SYNTHETIC_SIMULATED,1.0,否认当前确认门，不等于 ORDER.CANCEL
17,train,COLLECTING_SLOT_PHRASED:30049,COLLECTING_SLOT_PHRASED,订单号 18500001111,COLLECTING,True,LOGISTICS.TRACK,LOGISTICS,customer_phone_or_order_id,0,NONE,True,EXPLICIT_SLOT_NAME,ORDER_ID_OR_PHONE,False,True,ORDER.QUERY_STATUS,0.9364,LOGISTICS.TRACK,0.2668,0.6696,False,False,False,CONTINUE_CURRENT,LOGISTICS.TRACK,LOGISTICS,L1,70,SYNTHETIC_SIMULATED,1.5,pending-slot-aware extraction 应优先于业务意图切换
18,train,COLLECTING_SLOT_PURE:70921,COLLECTING_SLOT_PURE,A20260730188,COLLECTING,True,LOGISTICS.DELIVERY_TIME,LOGISTICS,customer_phone_or_order_id,0,RULE_SLOT_ONLY,True,CONTEXTUAL_ANSWER,ORDER_ID_OR_PHONE,False,False,LOGISTICS.DELIVERY_TIME,0.3009,ORDER.QUERY_STATUS,0.2239,0.077,True,True,False,CONTINUE_CURRENT,LOGISTICS.DELIVERY_TIME,LOGISTICS,L1,70,SYNTHETIC_SIMULATED,1.0,pending-slot-aware extraction 应优先于业务意图切换
19,train,CONFIRMING_CONFIRM:00263,CONFIRMING_CONFIRM,就这样,CONFIRMING,True,AFTERSALE.RETURN,AFTERSALE,,0,RULE_CONFIRM_GATE,False,NONE,NONE,False,False,AFTERSALE.RETURN,0.4117,AFTERSALE.REFUND,0.3526,0.0591,True,True,False,CONFIRM_CURRENT,AFTERSALE.RETURN,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.0,META.CONFIRM 仅 CONFIRMING 有效
20,train,AMBIGUOUS_PAIR:69503,AMBIGUOUS_PAIR,订单怎么还没到,COLLECTING,True,LOGISTICS.TRACK,LOGISTICS,customer_phone_or_order_id,0,NONE,False,NONE,NONE,False,True,LOGISTICS.DELIVERY_TIME,0.5679,ORDER.QUERY_STATUS,0.4786,0.0893,True,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,top1 较高但 margin 小，进入候选二判
21,train,ABORT_BARE:61502,ABORT_BARE,算了,COLLECTING,True,ORDER.CHANGE_ADDRESS,ORDER,customer_phone_or_order_id,0,RULE_KEYWORD,False,NONE,NONE,False,False,META.ABORT,0.5154,ORDER.CHANGE_ADDRESS,0.4569,0.0585,True,True,False,CANCEL_CURRENT,ORDER.CHANGE_ADDRESS,ORDER,L3,60,SYNTHETIC_SIMULATED,1.0,裸取消压倒当前操作
22,train,AMBIGUOUS_PAIR:19833,AMBIGUOUS_PAIR,货到哪了还没发,COLLECTING,True,PROMOTION.ACTIVITY,PROMOTION,,0,NONE,False,NONE,NONE,False,True,LOGISTICS.DELIVERY_TIME,0.6761,LOGISTICS.TRACK,0.5824,0.0937,False,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,top1 较高但 margin 小，进入候选二判
23,train,MULTI_INTENT:85261,MULTI_INTENT,先看看库存，有货的话帮我下单,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,ORDER.QUERY_STATUS,0.7626,LOGISTICS.SHIPPING_FEE,0.6648,0.0978,False,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.0,多意图与条件任务先交分段/LLM，不由 meta 直接执行
24,train,CONFIRMING_CONFIRM:19674,CONFIRMING_CONFIRM,对,CONFIRMING,True,AFTERSALE.RETURN,AFTERSALE,,0,RULE_CONFIRM_GATE,False,NONE,NONE,False,False,AFTERSALE.RETURN,0.3608,AFTERSALE.EXCHANGE,0.3074,0.0534,True,True,False,CONFIRM_CURRENT,AFTERSALE.RETURN,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.0,META.CONFIRM 仅 CONFIRMING 有效
25,train,TRANSFER_HUMAN:62679,TRANSFER_HUMAN,别让机器人回了,CONFIRMING,True,AFTERSALE.RETURN,AFTERSALE,,0,RULE_KEYWORD,False,NONE,NONE,False,False,META.TRANSFER_HUMAN,0.9153,META.UNKNOWN,0.189,0.7263,False,False,False,TRANSFER_HUMAN,META.TRANSFER_HUMAN,META,L0,30,SYNTHETIC_SIMULATED,1.0,
26,train,COLLECTING_SLOT_PHRASED:10948,COLLECTING_SLOT_PHRASED,我的订单号是A20260730188,COLLECTING,True,AFTERSALE.EXCHANGE,AFTERSALE,customer_phone_or_order_id,0,NONE,True,EXPLICIT_SLOT_NAME,ORDER_ID_OR_PHONE,False,True,ORDER.QUERY_STATUS,0.8832,AFTERSALE.EXCHANGE,0.2716,0.6116,False,False,False,CONTINUE_CURRENT,AFTERSALE.EXCHANGE,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.5,pending-slot-aware extraction 应优先于业务意图切换
27,train,COLLECTING_SWITCH_IMPLICIT:15550,COLLECTING_SWITCH_IMPLICIT,我的订单什么状态,COLLECTING,True,AFTERSALE.COMPLAIN,AFTERSALE,customer_phone_or_order_id,2,NONE,False,NONE,NONE,False,True,ORDER.QUERY_STATUS,0.8395,AFTERSALE.COMPLAIN,0.1473,0.6922,False,False,False,SWITCH_NEW,ORDER.QUERY_STATUS,ORDER,L1,70,SYNTHETIC_SIMULATED,1.5,任务进行态隐式切换应使用更严格分数与 margin
28,train,CONFIRMING_BUSINESS_SWITCH:12459,CONFIRMING_BUSINESS_SWITCH,先放一下，保修规定怎么说,CONFIRMING,True,AFTERSALE.REFUND,AFTERSALE,,1,NONE,False,NONE,NONE,True,True,FAQ.GENERAL,0.8796,AFTERSALE.REFUND,0.0206,0.859,False,False,False,SWITCH_NEW,FAQ.GENERAL,FAQ,L0,80,SYNTHETIC_SIMULATED,1.5,
29,train,COLLECTING_SWITCH_IMPLICIT:72561,COLLECTING_SWITCH_IMPLICIT,能用支付宝吗,COLLECTING,True,ORDER.CREATE,ORDER,sku_attr,2,NONE,False,NONE,NONE,False,True,PAYMENT.METHOD,0.928,ORDER.CREATE,0.084,0.844,False,False,False,SWITCH_NEW,PAYMENT.METHOD,PAYMENT,L0,70,SYNTHETIC_SIMULATED,1.5,任务进行态隐式切换应使用更严格分数与 margin
30,train,IDLE_CLEAR_INTENT:82259,IDLE_CLEAR_INTENT,我的券不能使用,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,PROMOTION.COUPON,0.8667,AFTERSALE.REFUND,0.0818,0.7849,False,False,False,ACCEPT_NEW_INTENT,PROMOTION.COUPON,PROMOTION,L1,70,SYNTHETIC_SIMULATED,1.0,
31,validation,AMBIGUOUS_PAIR:89365,AMBIGUOUS_PAIR,订单怎么还没到,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,ORDER.QUERY_STATUS,0.573,LOGISTICS.DELIVERY_TIME,0.5464,0.0266,True,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,top1 较高但 margin 小，进入候选二判
32,train,COLLECTING_OTHER_SLOT:14296,COLLECTING_OTHER_SLOT,公司专票,COLLECTING,True,PAYMENT.INVOICE,PAYMENT,invoice_type,0,NONE,True,SEMANTIC_SLOT,INVOICE_TYPE,False,False,ORDER.QUERY_STATUS,0.5672,PAYMENT.INVOICE,0.4846,0.0826,True,True,False,CONTINUE_CURRENT,PAYMENT.INVOICE,PAYMENT,L3,60,SYNTHETIC_SIMULATED,1.0,槽位语义匹配成功时续接当前任务
33,train,AMBIGUOUS_PAIR:05802,AMBIGUOUS_PAIR,退货政策是什么,COLLECTING,True,META.BOT_IDENTITY,META,,0,NONE,False,NONE,NONE,False,True,AFTERSALE.RETURN,0.7298,FAQ.GENERAL,0.6459,0.0839,False,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,top1 较高但 margin 小，进入候选二判
34,train,CONFIRMING_CONFIRM:37410,CONFIRMING_CONFIRM,就这样,CONFIRMING,True,PAYMENT.INVOICE,PAYMENT,,0,RULE_CONFIRM_GATE,False,NONE,NONE,False,False,PAYMENT.INVOICE,0.3438,FAQ.GENERAL,0.2591,0.0847,True,True,False,CONFIRM_CURRENT,PAYMENT.INVOICE,PAYMENT,L3,60,SYNTHETIC_SIMULATED,1.0,META.CONFIRM 仅 CONFIRMING 有效
35,train,IDLE_CLEAR_INTENT:86151,IDLE_CLEAR_INTENT,你们门店在哪里,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,FAQ.GENERAL,0.9551,AFTERSALE.RETURN,0.0245,0.9306,False,False,False,ACCEPT_NEW_INTENT,FAQ.GENERAL,FAQ,L0,80,SYNTHETIC_SIMULATED,1.0,
36,train,OOS_UNKNOWN:74230,OOS_UNKNOWN,你能帮我写代码吗,IDLE,False,,,,0,NONE,False,NONE,NONE,False,False,META.UNKNOWN,0.4053,AFTERSALE.COMPLAIN,0.3289,0.0764,True,True,True,UNKNOWN,,,,,SYNTHETIC_SIMULATED,1.0,有 active_task 但无续接证据时不得污染槽位
37,train,COLLECTING_SLOT_PHRASED:32543,COLLECTING_SLOT_PHRASED,应该是12345678,COLLECTING,True,AFTERSALE.EXCHANGE,AFTERSALE,customer_phone_or_order_id,0,NONE,True,CONTEXTUAL_ANSWER,ORDER_ID_OR_PHONE,False,False,AFTERSALE.EXCHANGE,0.4597,ORDER.QUERY_STATUS,0.3807,0.079,True,True,False,CONTINUE_CURRENT,AFTERSALE.EXCHANGE,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.5,pending-slot-aware extraction 应优先于业务意图切换
38,train,ORDER_CANCEL_WITH_OBJECT:64841,ORDER_CANCEL_WITH_OBJECT,还没发货就取消吧,COLLECTING,True,AFTERSALE.REFUND,AFTERSALE,customer_phone_or_order_id,0,RULE_KEYWORD,False,NONE,NONE,False,True,ORDER.CANCEL,0.7834,META.ABORT,0.0167,0.7667,False,False,False,ACCEPT_NEW_INTENT,ORDER.CANCEL,ORDER,L3,60,SYNTHETIC_SIMULATED,1.0,带订单宾语时不能判 META.ABORT
39,train,CORRECTION_ACTIVE:52409,CORRECTION_ACTIVE,订单号说错了，是87654321,COLLECTING,True,ORDER.QUERY_STATUS,ORDER,customer_phone_or_order_id,0,RULE_KEYWORD,True,CORRECTION_VALUE,TEXT,False,True,META.CORRECTION,0.4106,ORDER.QUERY_STATUS,0.394,0.0166,True,True,False,CORRECT_CURRENT,ORDER.QUERY_STATUS,ORDER,L1,70,SYNTHETIC_SIMULATED,1.0,纠正当前理解并继承有效槽位
40,train,COLLECTING_SLOT_PHRASED:02804,COLLECTING_SLOT_PHRASED,我的订单号是18500001111,COLLECTING,True,PAYMENT.ISSUE,PAYMENT,customer_phone_or_order_id,0,NONE,True,EXPLICIT_SLOT_NAME,ORDER_ID_OR_PHONE,False,True,ORDER.QUERY_STATUS,0.8454,PAYMENT.ISSUE,0.3387,0.5067,False,False,False,CONTINUE_CURRENT,PAYMENT.ISSUE,PAYMENT,L1,60,SYNTHETIC_SIMULATED,1.5,pending-slot-aware extraction 应优先于业务意图切换
41,train,OOS_UNKNOWN:21750,OOS_UNKNOWN,股票明天会涨吗,COLLECTING,True,AFTERSALE.EXCHANGE,AFTERSALE,customer_phone_or_order_id,0,NONE,False,NONE,NONE,False,False,META.UNKNOWN,0.4276,PROMOTION.ACTIVITY,0.3471,0.0805,True,True,True,ASK_CLARIFICATION,,,,,SYNTHETIC_SIMULATED,1.0,有 active_task 但无续接证据时不得污染槽位
42,train,MULTI_INTENT:95364,MULTI_INTENT,查一下订单，顺便看看优惠券,COLLECTING,True,CHITCHAT.THANKS,CHITCHAT,,0,NONE,False,NONE,NONE,True,True,PRODUCT.ASK_STOCK,0.7419,AFTERSALE.REFUND,0.6906,0.0513,False,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.0,多意图与条件任务先交分段/LLM，不由 meta 直接执行
43,train,CONFIRMING_DENY:69546,CONFIRMING_DENY,不确认,CONFIRMING,True,AFTERSALE.RETURN,AFTERSALE,,0,RULE_CONFIRM_GATE,False,NONE,NONE,False,False,AFTERSALE.RETURN,0.5239,AFTERSALE.EXCHANGE,0.4861,0.0378,True,True,False,DENY_CURRENT,AFTERSALE.RETURN,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.0,否认当前确认门，不等于 ORDER.CANCEL
44,train,IDLE_CLEAR_INTENT:86151,IDLE_CLEAR_INTENT,你们门店在哪里,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,FAQ.GENERAL,0.8081,PRODUCT.ASK_INFO,0.0237,0.7844,False,False,False,ACCEPT_NEW_INTENT,FAQ.GENERAL,FAQ,L0,80,SYNTHETIC_SIMULATED,1.0,
45,train,ABORT_BARE:94823,ABORT_BARE,算了,EXECUTING,True,AFTERSALE.REFUND,AFTERSALE,customer_phone_or_order_id,0,RULE_KEYWORD,False,NONE,NONE,False,False,META.ABORT,0.3419,AFTERSALE.REFUND,0.2856,0.0563,True,True,False,CANCEL_CURRENT,AFTERSALE.REFUND,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.0,裸取消压倒当前操作
46,train,COLLECTING_OTHER_SLOT:14296,COLLECTING_OTHER_SLOT,公司专票,COLLECTING,True,PAYMENT.INVOICE,PAYMENT,invoice_type,0,NONE,True,SEMANTIC_SLOT,INVOICE_TYPE,False,False,PAYMENT.INVOICE,0.6528,PAYMENT.INVOICE,0.6181,0.0347,False,True,False,CONTINUE_CURRENT,PAYMENT.INVOICE,PAYMENT,L3,60,SYNTHETIC_SIMULATED,1.0,槽位语义匹配成功时续接当前任务
47,train,COLLECTING_OTHER_SLOT:40559,COLLECTING_OTHER_SLOT,有瑕疵,COLLECTING,True,AFTERSALE.RETURN,AFTERSALE,return_reason,0,NONE,True,SEMANTIC_SLOT,RETURN_REASON,False,False,AFTERSALE.RETURN,0.6833,AFTERSALE.RETURN,0.6545,0.0288,False,True,False,CONTINUE_CURRENT,AFTERSALE.RETURN,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.0,槽位语义匹配成功时续接当前任务
48,train,COLLECTING_OTHER_SLOT:97766,COLLECTING_OTHER_SLOT,颜色发错了,COLLECTING,True,AFTERSALE.EXCHANGE,AFTERSALE,exchange_reason,0,NONE,True,SEMANTIC_SLOT,EXCHANGE_REASON,False,False,AFTERSALE.REFUND,0.6302,AFTERSALE.EXCHANGE,0.5887,0.0415,False,True,False,CONTINUE_CURRENT,AFTERSALE.EXCHANGE,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.0,槽位语义匹配成功时续接当前任务
49,train,COLLECTING_SWITCH_EXPLICIT:94416,COLLECTING_SWITCH_EXPLICIT,另外，我要取消订单,COLLECTING,True,ORDER.QUERY_STATUS,ORDER,customer_phone_or_order_id,2,NONE,False,NONE,NONE,True,True,ORDER.CANCEL,0.9354,ORDER.QUERY_STATUS,0.0621,0.8733,False,False,False,SWITCH_NEW,ORDER.CANCEL,ORDER,L3,60,SYNTHETIC_SIMULATED,1.0,
50,train,COLLECTING_SWITCH_EXPLICIT:27135,COLLECTING_SWITCH_EXPLICIT,另外，这个型号多大尺寸,COLLECTING,True,PAYMENT.INVOICE,PAYMENT,customer_phone_or_order_id,0,NONE,False,NONE,NONE,True,True,PRODUCT.ASK_INFO,0.8999,PAYMENT.INVOICE,0.0428,0.8571,False,False,False,SWITCH_NEW,PRODUCT.ASK_INFO,PRODUCT,L0,70,SYNTHETIC_SIMULATED,1.0,
51,test,COLLECTING_SWITCH_IMPLICIT:60167,COLLECTING_SWITCH_IMPLICIT,钱扣了订单还是未付款,COLLECTING,True,PRODUCT.RECOMMEND,PRODUCT,use_scene,2,NONE,False,NONE,NONE,False,True,PAYMENT.ISSUE,0.7135,PRODUCT.RECOMMEND,0.6159,0.0976,False,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,任务进行态隐式切换应使用更严格分数与 margin
52,train,COLLECTING_SWITCH_IMPLICIT:62805,COLLECTING_SWITCH_IMPLICIT,扣款了但订单没支付,COLLECTING,True,ORDER.CREATE,ORDER,quantity,1,NONE,False,NONE,NONE,False,True,PAYMENT.ISSUE,0.8021,ORDER.CREATE,0.0567,0.7454,False,False,False,SWITCH_NEW,PAYMENT.ISSUE,PAYMENT,L1,60,SYNTHETIC_SIMULATED,1.5,任务进行态隐式切换应使用更严格分数与 margin
53,train,IDLE_CLEAR_INTENT:59350,IDLE_CLEAR_INTENT,这两款有什么区别,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,PRODUCT.COMPARE,0.8668,CHITCHAT.THANKS,0.0697,0.7971,False,False,False,ACCEPT_NEW_INTENT,PRODUCT.COMPARE,PRODUCT,L0,70,SYNTHETIC_SIMULATED,1.0,
54,train,OOS_UNKNOWN:87613,OOS_UNKNOWN,你支持比特币提现吗,IDLE,False,,,,0,NONE,False,NONE,NONE,False,False,META.UNKNOWN,0.4097,PRODUCT.RECOMMEND,0.3027,0.107,True,False,True,UNKNOWN,,,,,SYNTHETIC_SIMULATED,1.0,有 active_task 但无续接证据时不得污染槽位
55,train,COLLECTING_SWITCH_IMPLICIT:84937,COLLECTING_SWITCH_IMPLICIT,聊聊天,COLLECTING,True,AFTERSALE.REFUND,AFTERSALE,customer_phone_or_order_id,1,NONE,False,NONE,NONE,False,True,CHITCHAT.GENERAL,0.5705,AFTERSALE.REFUND,0.4763,0.0942,True,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,任务进行态隐式切换应使用更严格分数与 margin
56,train,COLLECTING_SWITCH_IMPLICIT:21398,COLLECTING_SWITCH_IMPLICIT,付款失败了,COLLECTING,True,META.BOT_IDENTITY,META,customer_phone_or_order_id,0,NONE,False,NONE,NONE,False,True,PAYMENT.ISSUE,0.8153,META.BOT_IDENTITY,0.1949,0.6204,False,False,False,SWITCH_NEW,PAYMENT.ISSUE,PAYMENT,L1,60,SYNTHETIC_SIMULATED,1.5,任务进行态隐式切换应使用更严格分数与 margin
57,train,IDLE_CLEAR_INTENT:98804,IDLE_CLEAR_INTENT,保修规定怎么说,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,FAQ.GENERAL,0.7952,PRODUCT.ASK_INFO,0.0206,0.7746,False,False,False,ACCEPT_NEW_INTENT,FAQ.GENERAL,FAQ,L0,80,SYNTHETIC_SIMULATED,1.0,
58,train,IDLE_CLEAR_INTENT:60346,IDLE_CLEAR_INTENT,想咨询一下今天能发出吗,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,LOGISTICS.DELIVERY_TIME,0.9181,ORDER.QUERY_STATUS,0.0795,0.8386,False,False,False,ACCEPT_NEW_INTENT,LOGISTICS.DELIVERY_TIME,LOGISTICS,L1,70,SYNTHETIC_SIMULATED,1.0,
59,train,CONFIRMING_BUSINESS_SWITCH:12890,CONFIRMING_BUSINESS_SWITCH,等等，退换货政策是什么,CONFIRMING,True,ORDER.CHANGE_ADDRESS,ORDER,,2,NONE,False,NONE,NONE,True,True,FAQ.GENERAL,0.9173,ORDER.CHANGE_ADDRESS,0.183,0.7343,False,False,False,SWITCH_NEW,FAQ.GENERAL,FAQ,L0,80,SYNTHETIC_SIMULATED,1.5,
60,train,AMBIGUOUS_PAIR:39800,AMBIGUOUS_PAIR,钱扣了订单没反应,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,PAYMENT.ISSUE,0.6064,ORDER.QUERY_STATUS,0.586,0.0204,False,True,True,SEND_TO_LLM,,,,,SYNTHETIC_SIMULATED,1.5,top1 较高但 margin 小，进入候选二判
61,train,IDLE_CLEAR_INTENT:34183,IDLE_CLEAR_INTENT,怎么把商品退回去,IDLE,False,,,,0,NONE,False,NONE,NONE,False,True,AFTERSALE.RETURN,0.9207,AFTERSALE.REFUND,0.1136,0.8071,False,False,False,ACCEPT_NEW_INTENT,AFTERSALE.RETURN,AFTERSALE,L3,60,SYNTHETIC_SIMULATED,1.0,
62,train,OOS_UNKNOWN:20774,OOS_UNKNOWN,今天台北下雨吗,COLLECTING,True,ORDER.CANCEL,ORDER,customer_phone_or_order_id,0,NONE,False,NONE,NONE,False,False,META.UNKNOWN,0.3484,LOGISTICS.SHIPPING_FEE,0.2639,0.0845,True,True,True,ASK_CLARIFICATION,,,,,SYNTHETIC_SIMULATED,1.0,有 active_task 但无续接证据时不得污染槽位
